//<Encoding>UTF-8</Encoding>																																																																																																																							
//<Version>ODV Spreadsheet V4.6.4</Version>																																																																																																																							
//<CreateTime>2017-12-05T09:05:29</CreateTime>																																																																																																																							
//<Software>Ocean Data View 5.0.0 - 64 bit (Windows)</Software>																																																																																																																							
//<SourceLastModified>2017-11-27T07:35:01</SourceLastModified>																																																																																																																							
//<DataField>Ocean</DataField>																																																																																																																							
//<DataType>Profiles</DataType>																																																																																																																							
//																																																																																																																							
//																																																																																																																							
Cruise	Station	Type	yyyy-mm-ddThh:mm:ss.sss	Longitude [degrees_east]	Latitude [degrees_north]	LOCAL_CDI_ID	EDMO_code	Bot. Depth [m]	Instrument Info	P01 Codes	References	Data set name	Discipline	Category	Variables measured	Data format	Data format version	Data size	Data set creation date	Datum	Measuring area type	Water depth [m]	Depth reference	Minimum instrument depth [m]	Maximum instrument depth [m]	Start date	Start time	End date	End time	Vertical resolution	Vertical resolution unit	Instrument / gear type	Track resolution	Track resolution unit	Frequency	Frequency unit	Platform type	Cruise name	Alternative cruise name	Cruise start date	Station name	Alternative station name	Station start date	Originator	Data Holding centre	Project name	EDMED references	CSR references	Publication references	Data Distributor	Database reference	Access/ordering of data	Access restriction	CDI-record id	CDI-record creation date	CDI-partner	Depth [m]	QV:SEADATANET	ITS-90 water temperature [degrees C]	QV:SEADATANET	Water body salinity [per mille]	QV:SEADATANET	Water body dissolved oxygen concentration [umol/l]	QV:SEADATANET	Water body dissolved oxygen saturation [%]	QV:SEADATANET	Water body nitrate [umol/l]	QV:SEADATANET	Water body nitrate plus nitrite [umol/l]	QV:SEADATANET	Water body nitrite [umol/l]	QV:SEADATANET	Water body phosphate [umol/l]	QV:SEADATANET	Water body silicate [umol/l]	QV:SEADATANET	Water body ammonium [umol/l]	QV:SEADATANET	Water body urea [umol/l]	QV:SEADATANET	Water body chlorophyll-a [mg/m^3]	QV:SEADATANET	Water body chlorophyll-b [mg/m^3]	QV:SEADATANET	Water body chlorophyll-c [mg/m^3]	QV:SEADATANET	Water body phaeopigments [mg/m^3]	QV:SEADATANET	Water body total alkalinity [mEquiv/l]	QV:SEADATANET	Water body dissolved inorganic carbon [umol/l]	QV:SEADATANET	Water body carbon dioxide partial pressure [microatmospheres]	QV:SEADATANET	Water body total nitrogen [umol/l]	QV:SEADATANET	Water body total phosphorus [umol/l]	QV:SEADATANET	Water body organic phosphorus [umol/l]	QV:SEADATANET	Water body particulate organic carbon {POC} [umol/l]	QV:SEADATANET	Water body organic nitrogen [umol/l]	QV:SEADATANET	Water body dissolved nitrogen [umol/l]	QV:SEADATANET	Water body pH [pH units]	QV:SEADATANET	Water body dissolved phosphorus [umol/l]	QV:SEADATANET	Water body dissolved organic carbon {DOC} [umol/l]	QV:SEADATANET	Water body dissolved inorganic nitrogen (DIN) [umol/l]	QV:SEADATANET	Water body particulate phosphorus [umol/l]	QV:SEADATANET	Water body particulate nitrogen [umol/l]	QV:SEADATANET	QV:SEADATANET:SAMPLE
																																																									2566.1001	1	20	1	39	1	199.93002	1		9		9	13	1		9	1.71	1		9		9		9		9		9		9		9		9		9		9		9		9		9		9		9		9		9		9		9		9		9		9	0
																																																									2960.8999	1	21	1	39.1	1	199.55672	1		9		9	14	1		9	1.88	1		9		9		9		9		9		9		9		9		9		9		9		9		9		9		9		9		9		9		9		9		9		9	0
PF_6901771	6901771_113_A	C	2016-09-07T10:46:59	17.18696	35.41161	45236468	486	0	SDN:P01::PRESPR01 SDN:L22::TOOL0669 | SDN:P01::TEMPPR01 SDN:L22::TOOL0669 | SDN:P01::PSLTZZ01 SDN:L22::TOOL0669 | SDN:P01::DOXMZZXX SDN:L22::TOOL0826	SDN:P01::PRESPR01 | SDN:P01::TEMPPR01 | SDN:P01::PSLTZZ01 | SDN:P01::DOXMZZXX | SDN:P01::CPHLZZXX	http://seadatanet.maris2.nl/v_cdi_v3/print_xml.asp?edmo=486&identifier=45236468	PF_6901771_113_A_45236468	Biological oceanography;Chemical oceanography;Physical oceanography	Dissolved gases;Pigments;Water column temperature and salinity	Chlorophyll pigment concentrations in water bodies;Dissolved oxygen parameters in the water column;Salinity of the water column;Temperature of the water column	ODV	0.4		20160916		point	-9999	sea level			20160907	10:47:00	20160907	10:47:00			dissolved gas sensors;fluorometers;salinity sensor;water temperature sensor					drifting subsurface float				6901771_113_A	45236468	20160907	LABORATORY OF OCEANOGRAPHY of VILLEFRANCHE (LOV) / OOV (490)	IFREMER / IDM / SISMER - Scientific Information Systems for the SEA (486)	Remotely-Sensed Biogeochemical Cycles in the Ocean - RemOcean (12132);NAOS Project (12222)	ARGO France: Data from lagrangian profilers (5971)			IFREMER / IDM / SISMER - Scientific Information Systems for the SEA (486)	Coriolis data centre	web data access with registration	unrestricted	2457011	20171026	IFREMER / IDM / SISMER - Scientific Information Systems for the SEA (486)	0.59565	1	22	3	39.2	3		9		9		9		9		9		9		9		9		9	0.036	8		9		9		9		9		9		9		9		9		9		9		9		9		9		9		9		9		9		9	0
																																																									1.09202	1		9		9		9		9		9		9		9		9		9		9		9	0.036	8		9		9		9		9		9		9		9		9		9		9		9		9		9		9		9		9		9		9	0
																																																									1.29057	1		9		9		9		9		9		9		9		9		9		9		9	0.036	8		9		9		9		9		9		9		9		9		9		9		9		9		9		9		9		9		9		9	0
																																																									1.48911	1	23	1	50.19	3		9		9		9		9		9		9		9		9		9		9		9		9		9		9		9		9		9		9		9		9		9		9		9		9		9		9		9		9	0
																																																									1.68766	1		9		9		9		9		9		9		9		9		9		9		9	0.036	8		9		9		9		9		9		9		9		9		9		9		9		9		9		9		9		9		9		9	0
																																																									1.88621	1		9		9		9		9		9		9		9		9		9		9		9	0.036	8		9		9		9		9		9		9		9		9		9		9		9		9		9		9		9		9		9		9	0
																																																									2.08476	1		9		9		9		9		9		9		9		9		9		9		9	0.036	8		9		9		9		9		9		9		9		9		9		9		9		9		9		9		9		9		9		9	0
																																																									2.2833	1		9		9		9		9		9		9		9		9		9		9		9	0.036	8		9		9		9		9		9		9		9		9		9		9		9		9		9		9		9		9		9		9	0
																																																									2.38258	1	30	1	50.192	1		9		9		9		9		9		9		9		9		9		9		9		9		9		9		9		9		9		9		9		9		9		9		9		9		9		9		9		9	0
																																																									2.48185	1		9		9		9		9		9		9		9		9		9		9		9	0.036	8		9		9		9		9		9		9		9		9		9		9		9		9		9		9		9		9		9		9	0
																																																									2.77967	1		9		9		9		9		9		9		9		9		9		9		9	0.036	8		9		9		9		9		9		9		9		9		9		9		9		9		9		9		9		9		9		9	0
																																																									2.87894	1	30	1	50.193	1		9		9		9		9		9		9		9		9		9	0.036	8		9		9		9		9		9		9		9		9		9		9		9		9		9		9		9		9		9		9	0
																																																									3.17676	1		9		9	190.82016	1		9		9		9		9		9		9		9		9	0.036	8		9		9		9		9		9		9		9		9		9		9		9		9		9		9		9		9		9		9	0
																																																									3.47458	1	30	1	50.193	1		9		9		9		9		9		9		9		9		9	0.036	8		9		9		9		9		9		9		9		9		9		9		9		9		9		9		9		9		9		9	0
																																																									3.7724	1		9		9		9		9		9		9		9		9		9		9		9	0.036	8		9		9		9		9		9		9		9		9		9		9		9		9		9		9		9		9		9		9	0
																																																									3.97094	1		9		9		9		9		9		9		9		9		9		9		9	0.036	8		9		9		9		9		9		9		9		9		9		9		9		9		9		9		9		9		9		9	0
																																																									4.16949	1		9		9	190.87643	1		9		9		9		9		9		9		9		9	0.036	8		9		9		9		9		9		9		9		9		9		9		9		9		9		9		9		9		9		9	0
																																																									4.36803	1	30	1	50.192	1		9		9		9		9		9		9		9		9		9	0.036	8		9		9		9		9		9		9		9		9		9		9		9		9		9		9		9		9		9		9	0
																																																									4.66585	1		9		9		9		9		9		9		9		9		9		9		9	0.036	8		9		9		9		9		9		9		9		9		9		9		9		9		9		9		9		9		9		9	0
